6/30		終日、来客なく東京・富ヶ谷の私邸で過ごす
6/22	18:45	公邸着。「日本の美」総合プロジェクト懇談会のメンバーらと夕食会
6/22	20:29	公邸発
6/22	20:43	東京・富ヶ谷の私邸着
6/21	9:15	東京・富ヶ谷の私邸発
6/21	9:50	羽田空港着
6/21	10:02	自衛隊機で羽田空港発　小此木防災担当大臣同行
6/21	10:59	大阪空港着
6/21	11:02	大阪空港発
6/21	11:39	大阪・茨木市の若園公園着　自衛隊の入浴支援活動を視察　利用者と写真撮影、握手
6/21	11:59	若園公園発
6/21	12:17	高槻市の市立寿栄小学校着　小学４年生の女子児童が亡くなったブロック塀の倒壊現場を視察　献花、黙とう
6/21	12:29	寿栄小学校発
6/21	12:53	高槻市の市立五百住小学校着　避難所で被災者を激励
6/21	13:08	五百住小学校発
6/21	13:35	高槻市役所着　大阪府の松井一郎知事、高槻市の濱田剛史市長、茨木市の福岡洋一市長と意見交換、要望書を受け取る
6/21	14:14	報道各社のインタビュー<br>「被災自治体が全力で応急対応や復旧作業にあたれるよう、普通交付税の前倒しに向けた迅速な対応を含めて必要な財政措置をとる」と述べる
6/21	14:22	高槻市役所発
6/21	14:56	大阪空港着
6/21	15:07	自衛隊機で大阪空港発
6/21	15:57	羽田空港着
6/21	16:08	羽田空港発
6/21	16:34	官邸着
6/21	16:38	ＴＰＰ等政府対策本部の梅本和義首席交渉官、外務省の山﨑和之外務審議官、山野内勘二経済局長、財務省の浅川雅嗣財務官、経済産業省の柳瀬唯夫経済産業審議官、多田明弘製造産業局長、国土交通省の田端浩国土交通審議官と日米の経済外交についての勉強会
6/21	17:29	アメリカのフィリップ・デービッドソン　インド太平洋軍司令官の表敬（～18:01）
6/21	18:22	官邸発
6/21	18:23	公邸着　公邸泊
6/20	8:27	公邸発
6/20	8:29	国会着
6/20	8:30	院内総裁室に入る
6/20	8:31	自民党の臨時役員会（～8:41）
6/20	8:42	院内総裁室を出る
6/20	8:43	院内常任委員長室に入る
6/20	8:46	公明党の山口代表と与党党首会談（～8:57）<br>自民党の二階幹事長、公明党の井上幹事長、菅官房長官同席
6/20	8:58	院内常任委員長室を出る
6/20	8:59	国会発
6/20	9:02	官邸着
6/20	14:42	官邸発
6/20	14:54	東京・千代田区の経団連会館着<br>全国信用金庫大会に出席しあいさつ
6/20	15:21	経団連会館発
6/20	15:37	官邸着
6/20	15:53	自民党国防議員連盟の会長を務める衛藤征士郎衆議院議員らと面会（～16:12）
6/20	16:13	自民党の稲田朋美元防衛大臣と面会（～16:17）
6/20	16:18	齋藤農林水産大臣と面会（～16:28）
6/20	16:29	河野外務大臣と面会（～16:53）
6/20	16:54	尾身幸次元衆議院議員と面会（～17:34）
6/20	18:49	官邸発
6/20	19:00	東京・銀座のステーキ店「かわむら」着<br>麻生副総理兼財務大臣、自民党の二階幹事長、林幹事長代理、河村予算委員長、松本国会対策委員長代理、甘利元経済再生担当大臣と会食
6/20	21:08	ステーキ店発
6/20	21:29	東京・富ヶ谷の私邸着

6/19	8:09	東京・富ヶ谷の私邸発
6/19	8:20	官邸着　「おはよう」と小さな声で言い入る
6/19	8:28	閣議（～08:39）
6/19	8:40	野田総務大臣と面会　野田大臣「国会運営などいろいろ話した」（～09:06）
6/19	9:07	麻生副総理兼財務大臣と面会（～09:37）
6/19	11:41	浜田宏一内閣官房参与と面会（～11:59）
6/19	14:03	官邸発　記者団が加計学園の加計孝太郎理事長が初めて会見したことについて「疑惑は晴れたと思うか」などと問うも無言で出る
6/19	14:05	国会着
6/19	14:06	衆議院本会議場に入る
6/19	14:13	本会議場出る　自民党の高市早苗衆議院議員とともに第１４控室に入り、面会
6/19	14:23	第１４控室出て、本会議場に戻る
6/19	14:32	本会議場出る
6/19	14:33	国会発
6/19	14:35	官邸着
6/19	14:42	麻生副総理兼財務大臣と面会（～15:34）
6/19	16:00	薗浦健太郎総理大臣補佐官と面会（～16:14）
6/19	16:15	谷内正太郎国家安全保障局長、北村滋内閣情報官、内閣衛星情報センターの木野村謙一所長と面会
6/19	16:30	谷内国家安全保障局長、木野村所長が出る
6/19	16:53	北村内閣情報官が出る
6/19	17:20	月例経済報告等に関する関係閣僚会議に出席（～17:33）
6/19	17:34	福井沖縄・北方担当大臣と面会（～17:36）
6/19	17:37	外務省の秋葉剛男事務次官と面会（～18:11）
6/19	18:12	山口県長門市の大西倉雄市長と面会（～18:20）
6/19	18:22	官邸発
6/19	18:23	公邸着　そのまま宿泊
6/18	8:43	東京・富ヶ谷の私邸発
6/18	8:57	官邸着。記者団に対し、「政府一丸となって対応している。まずは早急に被害状況を把握すること、そして被災者の救助・救命に全力を挙げること、政府から適時・適切に正確な情報を国民の皆さまにお伝えすることの３点を指示した」と述べる。
6/18	9:02	官邸内の危機管理センターに入る。小此木防災担当大臣、髙橋清孝内閣危機管理監などが同席（～9:14）
6/18	9:25	野上官房副長官と面会（～10:37）
6/18	11:28	自民党の二階幹事長、林幹事長代理と面会（～11:49)
6/18	12:54	官邸発
6/18	12:56	国会着
6/18	12:58	参議院の第１委員会室に入る
6/18	13:05	参議院決算委員会が始まる
6/18	16:58	参議院決算委員会を退席し、第１委員会室を出る
6/18	17:00	院内にある自民党総裁室に入る
6/18	17:02	自民党役員会に出席（～17:21)
6/18	17:22	自民党総裁室を出る
6/18	17:23	国会発
6/18	17:25	官邸着
6/18	17:49	大阪府北部を震源とする地震に関する関係閣僚会議に出席。「ライフラインの被害は続いている。引き続き公共交通、ガス・水道など、ライフラインの復旧に全国からの支援を含め、全力で取り組んで欲しい」と述べる。（～18:03)
6/18	18:14	官邸発
6/18	18:17	自民党本部着。6月22日にイギリスで開かれる「明治維新150周年国際シンポジウム」に向けたビデオメッセージの収録
6/18	18:39	自民党本部発
6/18	18:44	東京・赤坂の飲食店「古母里」着。自民党の岸田政調会長と会食
6/18	21:00	「古母里」発
6/18	21:19	私邸着
		来客無く、終日私邸で過ごす

6/16	7:27	東京・富ヶ谷の私邸発
6/16	7:47	東京・東新橋の日本テレビ着
6/16	8:13	読売テレビの報道番組に出演（～9:04)
6/16	9:14	日本テレビ発
6/16	9:30	私邸着
6/16	17:00	私邸発
6/16	17:15	東京・三田のフランス料理店「ジョエル・ロブション」着　店の前で通行人らと写真撮影、握手
6/16	17:18	母親の洋子さんの卒寿を祝う会(～21:45）
6/16	21:46	「ジョエル・ロブション」発
6/16	22:02	私邸着
6/15	7:36	東京・富ヶ谷の私邸発
6/15	7:48	官邸着。記者団に対し、右手をあげて「おはよう」とあいさつ
6/15	7:56	児童虐待防止対策に関する関係閣僚会議に出席し、「本当に胸がつぶれる思いだ。こうした痛ましいできごとを繰り返してはならない」と述べる。（～8:07）
6/15	8:16	閣議（～8:28)
6/15	8:35	持続可能な開発目標（SDGｓ）推進本部会合に出席し、「ＳＤＧｓを日本の未来をつくる国家戦略の主軸に据え、ことしの成長戦略でも強力に打ち出す。女性と次世代はＳＤＧｓの担い手であり政府をあげてエンパワーする」と述べる。（～8:46）
6/15	8:50	今年度の「SDGs未来都市」選定証授与式に出席（～8:59）
6/15	9:00	河野外務大臣と面会（～9:19）
6/15	10:09	茂木経済再生担当大臣、内閣府の河内隆事務次官、新原浩朗政策統括官、田和宏政策統括官、経済産業省の糟谷敏秀経済産業政策局長と面会（～10:34）
6/15	10:35	小野寺防衛大臣、防衛省の前田哲防衛政策局長と面会（～11:02)
6/15	14:24	官邸発
6/15	14:26	国会着
6/15	14:27	衆議院の本会議場に入る
6/15	14:57	衆議院の本会議場を出て、国会発
6/15	14:59	官邸着
6/15	15:15	国際交流基金の安藤裕康理事長、外務省の宮川学国際文化交流審議官と面会（～15:45）
6/15	15:30	外務省の秋葉剛男事務次官、森健良外務審議官、山﨑和之外務審議官と面会（～16:42）
6/15	16:43	北村滋内閣情報官と面会（～16:58）
6/15	16:59	自民党の吉田博美参議院幹事長、松村祥史幹事長代理と面会(～17:30)
6/15	17:32	経済財政諮問会議と未来投資会議の合同会議に出席し、「日本経済は、人手不足感が高まる中で、質・量の両面で、人材を確保するとともに、生産性の向上により、その潜在成長率を高めていくことが急務だ」と述べる。（～17:52)
6/15	18:01	臨時閣議（～18:09)
6/15	18:10	中川環境大臣と面会（～18:11）
6/15	18:12	吉野復興大臣と面会（～18:13）
6/15	19:44	東京・永田町のザ・キャピトルホテル東急着。日本料理「水簾」で秘書官らと食事
6/15	21:29	ザ・キャピトルホテル東急発
6/15	21:45	私邸着
6/14	9:31	公邸発
6/14	9:32	官邸着　右手を挙げておはようとあいさつ
6/14	11:12	自民党の下村博文元文部科学大臣と面会（～11:32）
6/14	11:33	川田司駐ポーランド大使、福田紀夫駐ホンジュラス大使と面会（～11:38）
6/14	11:42	自民党の再生可能エネルギー普及拡大委員会から提言書受け取り（～11:59）
6/14	12:00	村岡嗣政山口県知事、柳居俊学山口県議会議長らと面会（～12:08）
6/14	12:55	北村滋内閣情報官と面会（～13:10）
6/14	13:33	北朝鮮による拉致被害者家族会の飯塚繁雄代表、横田早紀江さんらと面会（～14:19）<br>「日本が北朝鮮に直接向き合い、拉致問題を解決していく決意だ」と述べる。
6/14	14:20	自民党の北村経夫参議院議員と面会（～14:27）
6/14	14:29	官邸発
6/14	14:31	国会着
6/14	14:32	衆議院の本会議場に入る　本会議開会
6/14	15:10	本会議を途中退席
6/14	15:11	国会発
6/14	15:13	官邸着
6/14	15:15	外務省の秋葉剛男事務次官、森健良外務審議官と面会（～15:28）
6/14	15:50	新党大地の鈴木宗男代表と面会（～16:20）
6/14	16:25	国家戦略特区諮問会議（～16:53）<br>「国家戦略特区は岩盤規制改革の突破口だ。出来ない理由を詰めるのではなく、『どうすれば実現するか』という観点で積極的に取り組んでほしい」と述べる。
6/14	16:54	梶山地方創生担当大臣と面会（～17:00）
6/14	17:01	国家安全保障会議４大臣会合（～17:41）
6/14	17:51	総合科学技術・イノベーション会議（～18:16）
6/14	18:21	官邸発
6/14	18:39	東京・築地のすっぽん料理店「六寛」でＪＲ東海の葛西敬之名誉会長と会食
6/14	21:20	料理店を出る
6/14	21:45	私邸着
6/13	9:34	公邸発
6/13	9:35	官邸着　右手をあげて「おはよう」という
6/13	10:58	自民党の柴山昌彦筆頭副幹事長と面会（～11:09）
6/13	11:47	自民党の山本一太参議院議員と面会（～12:02）
6/13	12:04	官邸発
6/13	12:05	公邸着　自民党の萩生田幹事長代行や、党宮城県連の会長をつとめる愛知治郎参議院議員ら宮城県選出の国会議員や県議会議員などと昼食会
6/13	13:04	公邸発
6/13	13:05	官邸着
6/13	13:59	谷内正太郎国家安全保障局長、外務省の秋葉剛男事務次官と面会（～14:55）
6/13	15:20	新潟県の花角英世新知事があいさつ　自民党の新潟県連会長をつとめる塚田一郎参議院議員が同席（～15:32）
6/13	15:33	公明党の太田昭宏前代表と面会（～16:15）
6/13	16:16	自民党の河井克行総裁外交特別補佐と面会（～16:34）
6/13	17:17	人生100年時代構想会議に出席（～17:56）
6/13	17:58	林文部科学大臣と面会（～18:07）
6/13	18:08	加藤拉致問題担当大臣と面会（～18:15）
6/13	18:29	官邸発
6/13	18:30	公邸着　そのまま公邸泊
6/12	8:43	東京・富ヶ谷の私邸発
6/12	8:59	官邸着
6/12	9:03	閣議（～9:14）
6/12	9:19	すべての女性が輝く社会づくり本部会合（～9:29)
6/12	9:30	世耕経済産業大臣と面会（～9:33）
6/12	10:16	マレーシアのマハティール首相を出迎え、記念撮影
6/12	10:17	陸上自衛隊の特別儀じょう隊による栄誉礼（～10:24）
6/12	10:26	マハティール首相との首脳会談（～11:35）
6/12	11:38	共同記者発表（～11:52）
6/12	11:53	マハティール首相を見送り
6/12	11:54	拉致問題対策本部の石川正一郎事務局長と面会（～12:27）
6/12	14:09	北村滋内閣情報官、外務省の鈴木哲総合外交政策局長、防衛省の前田哲防衛政策局長、自衛隊の河野克俊統合幕僚長（～14:30)
6/12	14:33	外務省の秋葉剛男事務次官、森健良外務審議官と面会（～15:04）
6/12	15:15	民放連・日本民間放送連盟の会長に新たに就任した日本テレビの大久保好男社長が就任のあいさつ（～15:20）
6/12	15:52	知的財産戦略本部会合（～16:22）
6/12	16:24	鈴木オリンピック・パラリンピック担当大臣と面会
6/12	16:25	上川法務大臣と面会
6/12	16:26	松山一億総活躍担当大臣と面会
6/12	16:28	麻生副総理兼財務大臣と面会（～16:39）
6/12	16:40	北村内閣情報官と面会（～17:03）
6/12	17:04	外務省の秋葉事務次官と面会（～17:40）
6/12	17:56	報道各社のインタビューに対して<br>「朝鮮半島の完全な非核化に向けたキム・ジョンウン朝鮮労働党委員長の意思を改めて文書の形で確認したことを、北朝鮮をめぐる諸懸案の包括的な解決に向けた一歩と支持する。拉致問題について、しっかりと言及して頂いたことを高く評価する」と述べる（～17:59）
6/12	18:00	官邸発
6/12	18:06	東京・千代田区のホテルニューオータニ着<br>神道政治連盟国会議員懇談会の総会に出席し、あいさつ（～18:11）
6/12	18:12	ホテルニューオータニ発
6/12	18:18	官邸着
6/12	18:45	ラオスのトンルン首相を出迎え、記念撮影
6/12	18:46	陸上自衛隊の特別儀じょう隊による栄誉礼（～18:52）
6/12	18:53	トンルン首相との首脳会談（～19:26）
6/12	19:28	共同記者発表（～19:45）
6/12	19:46	官邸発
6/12	19:47	公邸着、安倍総理大臣主催の夕食会（～20:50）
6/12	21:34	アメリカのトランプ大統領と電話首脳会談（～22:04）
6/12	22:04	報道各社のインタビューに対し、拉致問題について、「私から米朝首脳会談で取り上げて頂いたことに感謝申し上げた。この問題はトランプ大統領の強力な支援を頂きながら、日本が北朝鮮に直接向き合い、解決していかないといけないという決意をしている」と述べる（～22:08）　公邸泊
6/11	3:30	（日本時間午前３時半頃)バンクーバー国際空港着　給油
6/11	6:50	（日本時間午前７時前）バンクーバー国際空港発
6/11	16:10	羽田空港着
6/11	16:20	羽田空港発
6/11	16:42	皇居で帰国の記帳（～16:50）
6/11	16:59	国会着
6/11	17:00	院内総裁室に入る
6/11	17:01	自民党役員会
6/11	17:15	院内総裁室を出る
6/11	17:16	国会発
6/11	17:18	官邸着
6/11	17:35	アメリカのトランプ大統領と電話会談（～18:05）<br>外務省の秋葉剛男事務次官、森健良外務審議官、鈴木量博北米局長同席
6/11	18:34	報道各社のインタビュー<br>日米首脳電話会談について、「北東アジアの平和と安定に向けて大きな一歩を踏み出す歴史的な会談になることを期待しているが、その際、拉致問題について提起してもらえることを再確認した。米朝首脳会談が成功することを強く期待している」と述べる。
6/11	18:36	官邸発
6/11	18:42	東京・千代田区のホテルニューオータニ着<br>宴会場「鶴の間」で自民党谷垣・前幹事長を中心とする議員グループのパーティーに出席し「何としても拉致問題を安倍政権の間に解決しなければならない、こう決意している」と述べる。
6/11	18:51	ホテルニューオータニ発
6/11	19:02	東京・千代田区の帝国ホテル着<br>宴会場「光の間」で国際交流会議「アジアの未来」夕食会に出席し「北朝鮮が平和と法の支配と安定に向けた道へと踏み出すことの効果はアジアを超越し、世界経済全体へ及ぶ」と述べる。
6/11	20:53	帝国ホテル発
6/11	21:11	東京・富ヶ谷の私邸着
6/10	1:23	(日本時間午前）アルゼンチンなど１２の招待国首脳を歓迎、合同討議（～2:29)
6/10	2:36	(日本時間午前）集合写真の撮影（～2:37)
6/10	2:57	(日本時間午前）招待国を交えた各国首脳とのワーキングランチ（～4:18)
6/10	7:35	(日本時間午前）内外記者会見（～8:01）<br><br>ケベックシティーのホテル「ホテル・プラザ・ケベック」泊
6/10	22:15	(日本時間午後）政府専用機でケベック・ジャン・ルサージ空港発 ※いずれの時間も官邸報道室などの発表
6/9	0:37	(日本時間午前）イタリアのコンテ首相と首脳会談（～1:03)
6/9	1:07	(日本時間午前）カナダのトルドー首相による歓迎（～1:23)
6/9	1:42	(日本時間午前）各国首脳と討議（～3:13)
6/9	3:13	(日本時間午前）写真撮影（～3:18）
6/9	4:15	(日本時間午前）各国首脳と討議（～5:32)
6/9	5:48	(日本時間午前）イギリスのメイ首相と首脳会談（～6:36)
6/9	6:48	(日本時間午前）ドイツのメルケル首相と首脳会談（～7:24)
6/9	8:26	(日本時間午前）各国首脳と討議（～10:09)
6/9	11:03	(日本時間午前）文化行事に出席（～11:43)<br><br>カナダのケベック州シャルルボワのホテル「ル・マノワール・リシュリュー」泊
6/9	21:18	(日本時間午後）各国首脳とともに、ジェンダー平等などで議長国に助言を行う、女性有識者からなる評議会のメンバーと朝食会（～22:16）
6/9	22:50	(日本時間午後）G7スクロール署名行事に出席（～22:55）
6/9	23:50	(日本時間午後）各国首脳と討議（～24:48）
6/8	1:12	（日本時間午前）アメリカの首都ワシントンのホワイトハウスで、トランプ大統領と首脳会談（～01:55）
6/8	1:56	（日本時間午前）トランプ大統領らとワーキングランチ（～02:50）
6/8	3:22	（日本時間午前）共同記者会見<br>拉致問題について「最終的には私とキム・ジョンウン朝鮮労働党委員長の間で解決しなければならないと決意している」と述べ、日朝首脳会談の開催に意欲を示す。（～03:54）
6/8	7:58	（日本時間午前）ワシントン近郊のアンドリュース空軍基地発
6/8	9:55	（日本時間午前）カナダのケベック州にあるバゴヴィル基地着
6/8	（日本時間午前）ケベック州シャルルボワのホテル「ル・マノワール・リシュリュー」泊
